Lat,Lng,Alt,Spd
-117.6309861,-0.15,0.04,0.26
-117.630986,-0.16,0.01,0.26
-117.630986,-0.16,0.04,0.26
-117.6309861,-0.17,0.02,0.26
-117.630986,-0.17,0.03,0.26
-117.630986,-0.18,0.04,0.26
-117.630986,-0.19,0.04,0.26
-117.6309859,-0.19,0.04,0.26
-117.6309859,-0.19,0.07,0.26
-117.630986,-0.2,0.03,0.26
-117.6309861,-0.2,0.09,0.26
-117.6309862,-0.2,0.07,0.26
-117.6309863,-0.21,0.04,0.26
-117.6309863,-0.21,0.04,0.26
-117.6309863,-0.21,0.04,0.26
-117.6309864,-0.21,0.02,0.26
-117.6309864,-0.21,0.02,0.26
-117.6309864,-0.21,0.02,0.26
-117.6309864,-0.21,0.04,0.26
-117.6309864,-0.21,0.04,0.26
-117.6309864,-0.21,0.06,0.26
-117.6309863,-0.2,0.03,0.26
-117.6309863,-0.2,0.04,0.26
-117.6309863,-0.2,0.06,0.26
-117.6309862,-0.2,0.03,0.26
-117.6309862,-0.2,0.02,0.26
-117.6309862,-0.21,0.04,0.26
-117.6309863,-0.22,0.06,0.26
-117.6309863,-0.23,0.02,0.26
-117.6309863,-0.24,0.04,0.26
-117.6309862,-0.25,0.03,0.26
-117.6309862,-0.25,0.04,0.26
-117.6309861,-0.26,0.03,0.26
-117.6309862,-0.26,0.04,0.26
-117.6309862,-0.27,0.01,0.26
-117.6309862,-0.27,0.02,0.26
-117.6309863,-0.27,0.01,0.26
-117.6309863,-0.27,0.08,0.26
-117.6309864,-0.27,0.03,0.26
-117.6309865,-0.27,0.04,0.26
-117.6309866,-0.26,0.04,0.26
-117.6309866,-0.25,0.04,0.26
-117.6309867,-0.24,0.04,0.26
-117.6309868,-0.23,0.03,0.26
-117.6309868,-0.22,0.03,0.26
-117.630987,-0.21,0.04,0.26
-117.630987,-0.2,0.04,0.26
-117.6309872,-0.19,0.03,0.26
-117.6309873,-0.18,0.04,0.26
-117.6309875,-0.16,0.04,0.26
-117.6309874,-0.16,0.01,0.26
-117.6309874,-0.16,0.08,0.26
-117.6309874,-0.17,0.02,0.26
-117.6309875,-0.18,0.07,0.26
-117.6309876,-0.18,0.03,0.26
-117.6309875,-0.19,0.04,0.26
-117.6309876,-0.2,0,0.26
-117.6309876,-0.2,0.01,0.26
-117.6309876,-0.2,0.03,0.26
-117.6309876,-0.2,0.03,0.26
-117.6309876,-0.2,0.02,0.26
-117.6309876,-0.19,0.02,0.26
-117.6309876,-0.18,0.01,0.26
-117.6309877,-0.17,0.06,0.26
-117.6309877,-0.16,0.01,0.26
-117.6309876,-0.15,0.04,0.26
-117.6309876,-0.15,0.04,0.26
-117.6309876,-0.15,0.03,0.26
-117.6309876,-0.16,0.07,0.26
-117.6309877,-0.16,0.01,0.26
-117.6309877,-0.17,0.04,0.26
-117.6309876,-0.17,0.01,0.26
-117.6309876,-0.17,0.03,0.26
-117.6309876,-0.17,0.04,0.26
-117.6309877,-0.16,0.11,0.26
-117.6309881,-0.16,0.35,318.83
-117.6309887,-0.16,0.44,314.19
-117.6309894,-0.16,0.5,315.13
-117.6309902,-0.15,0.38,311.53
-117.6309908,-0.14,0.34,300.94
-117.6309913,-0.13,0.25,314.66
-117.6309914,-0.12,0.03,314.66
-117.6309913,-0.11,0.12,314.66
-117.6309911,-0.11,0.09,314.66
-117.6309911,-0.1,0.07,314.66
-117.630991,-0.1,0.07,314.66
-117.630991,-0.1,0.07,314.66
-117.630991,-0.11,0.04,314.66
-117.6309909,-0.11,0.04,314.66
-117.630991,-0.11,0.07,314.66
-117.6309912,-0.12,0.16,314.66
-117.6309915,-0.12,0.18,317.67
-117.6309925,-0.12,0.33,309.4
-117.6309932,-0.12,0.44,306.69
-117.630994,-0.12,0.42,311.11
-117.6309947,-0.12,0.45,310.49
-117.6309954,-0.12,0.26,308.03
-117.6309958,-0.11,0.14,308.96
-117.6309961,-0.11,0.12,308.96
-117.6309962,-0.1,0.03,308.96
-117.6309962,-0.09,0.04,308.96
-117.6309962,-0.09,0.02,308.96
-117.6309962,-0.09,0.03,308.96
-117.6309962,-0.08,0.03,308.96
-117.6309962,-0.09,0.02,308.96
-117.6309961,-0.09,0.04,308.96
-117.6309961,-0.09,0.02,308.96
-117.6309961,-0.1,0.04,308.96
-117.6309961,-0.1,0.04,308.96
-117.6309961,-0.11,0.09,308.96
-117.630996,-0.11,0.06,308.96
-117.630996,-0.11,0.04,308.96
-117.6309961,-0.12,0.03,308.96
-117.6309961,-0.12,0.03,308.96
-117.630996,-0.13,0.03,308.96
-117.630996,-0.13,0.04,308.96
-117.6309961,-0.13,0.08,308.96
-117.630996,-0.14,0.04,308.96
-117.6309959,-0.14,0.06,308.96
-117.6309958,-0.15,0.03,308.96
-117.6309959,-0.16,0.03,308.96
-117.6309959,-0.17,0.01,308.96
-117.6309959,-0.17,0.02,308.96
-117.6309959,-0.18,0.04,308.96
-117.6309958,-0.18,0.04,308.96
-117.6309958,-0.17,0.01,308.96
-117.6309958,-0.17,0.04,308.96
-117.6309958,-0.16,0.06,308.96
-117.6309958,-0.15,0.04,308.96
-117.6309956,-0.15,0.12,308.96
